Enter start page: Enter end page: 0
1
Contour #1221: Unicode expected: U+03A8, Position: (1660, 1188) y//120: 9
Contour #1222: Unicode expected: U+03A9, Position: (2113, 1191) y//120: 9
Contour #1223: Unicode expected: U+03B1, Position: (2569, 1193) y//120: 9
Contour #1224: Unicode expected: U+03B2, Position: (3021, 1194) y//120: 9
Contour #1225: Unicode expected: U+03B3, Position: (3475, 1196) y//120: 9
Contour #1226: Unicode expected: U+03B4, Position: (3928, 1197) y//120: 9
Contour #1227: Unicode expected: U+03B5, Position: (4382, 1199) y//120: 9
Contour #1453: Unicode expected: U+03B6, Position: (297, 1766) y//120: 14
Contour #1467: Unicode expected: U+03B7, Position: (751, 1769) y//120: 14
Contour #1468: Unicode expected: U+03B8, Position: (1205, 1771) y//120: 14
Contour #1469: Unicode expected: U+03B9, Position: (1658, 1774) y//120: 14
Contour #1470: Unicode expected: U+03BA, Position: (2111, 1776) y//120: 14
Contour #1471: Unicode expected: U+03BB, Position: (2566, 1778) y//120: 14
Contour #1472: Unicode expected: U+03BC, Position: (3019, 1779) y//120: 14
Contour #1473: Unicode expected: U+03BD, Position: (3473, 1780) y//120: 14
Contour #1474: Unicode expected: U+03BE, Position: (3926, 1781) y//120: 14
Contour #1475: Unicode expected: U+03BF, Position: (4380, 1783) y//120: 14
Contour #2323: Unicode expected: U+03C0, Position: (294, 2368) y//120: 19
Contour #2324: Unicode expected: U+03C1, Position: (747, 2371) y//120: 19
Contour #2325: Unicode expected: U+03C2, Position: (1202, 2373) y//120: 19
Contour #2326: Unicode expected: U+03C3, Position: (1656, 2375) y//120: 19
Contour #2327: Unicode expected: U+03C4, Position: (2108, 2376) y//120: 19
Contour #2328: Unicode expected: U+03C5, Position: (2563, 2377) y//120: 19
Contour #2329: Unicode expected: U+03C6, Position: (3017, 2378) y//120: 19
Contour #2330: Unicode expected: U+03C7, Position: (3471, 2379) y//120: 19
Contour #2331: Unicode expected: U+03C8, Position: (3923, 2380) y//120: 19
Contour #2332: Unicode expected: U+03C9, Position: (4377, 2380) y//120: 19
Contour #2593: Unicode expected: U+2014, Position: (291, 2945) y//120: 24
Contour #2594: Unicode expected: U+2019, Position: (745, 2947) y//120: 24
Contour #2595: Unicode expected: U+2026, Position: (1199, 2949) y//120: 24
Contour #2596: Unicode expected: U+2260, Position: (1653, 2950) y//120: 24
Contour #2597: Unicode expected: U+2266, Position: (2106, 2951) y//120: 24
Contour #2598: Unicode expected: U+2267, Position: (2560, 2952) y//120: 24
Contour #2599: Unicode expected: U+2500, Position: (3014, 2952) y//120: 24
Contour #2600: Unicode expected: U+2502, Position: (3468, 2952) y//120: 24
Contour #2601: Unicode expected: U+3000, Position: (3921, 2953) y//120: 24
Contour #2602: Unicode expected: U+3001, Position: (4376, 2953) y//120: 24
Contour #3484: Unicode expected: U+3002, Position: (287, 3544) y//120: 29
Contour #3485: Unicode expected: U+3008, Position: (741, 3545) y//120: 29
Contour #3486: Unicode expected: U+3009, Position: (1196, 3547) y//120: 29
